date,district,market_name,commodity_name,variety,actual,prediction,error,pct_error
2025-01-22,Medinipur(W),Jhargram,Rice,Super Fine,4600,4824.6396,224.6396484375,4.8834706182065215
2024-06-20,Darjeeling,Kalimpong,Rice,Other,6000,6007.241,7.2412109375,0.12068684895833333
2024-07-07,Darjeeling,Kalimpong,Rice,Other,6000,5887.2617,112.73828125,1.8789713541666666
2025-08-07,Medinipur(W),Jhargram,Rice,Super Fine,5000,5000.9785,0.978515625,0.0195703125
2024-05-28,Medinipur(W),Jhargram,Rice,Fine,4400,4405.463,5.462890625,0.12415660511363638
2024-06-06,Darjeeling,Kalimpong,Rice,Other,6000,5981.924,18.076171875,0.30126953125
2024-04-06,Medinipur(W),Jhargram,Rice,Super Fine,5200,5094.333,105.6669921875,2.0320575420673075
2025-03-27,Medinipur(W),Jhargram,Rice,Fine,4400,4400.0264,0.0263671875,0.0005992542613636364
2025-09-14,Medinipur(W),Jhargram,Rice,Fine,4400,4435.425,35.4248046875,0.8051091974431818
2024-01-10,Medinipur(W),Jhargram,Rice,Fine,4400,4359.4004,40.599609375,0.9227183948863636
2025-05-19,Medinipur(W),Jhargram,Rice,Fine,4400,4392.1714,7.82861328125,0.17792302911931818
2025-07-11,Medinipur(W),Jhargram,Rice,Super Fine,5000,4986.727,13.27294921875,0.26545898437500004
2025-07-24,Medinipur(W),Jhargram,Rice,Common,3800,3833.318,33.318115234375,0.876792506167763
2024-01-07,Medinipur(W),Jhargram,Rice,Fine,4400,4345.9424,54.0576171875,1.2285822088068181
2025-03-25,Medinipur(W),Jhargram,Rice,Super Fine,5000,4995.9966,4.00341796875,0.080068359375
2024-01-11,Medinipur(W),Jhargram,Rice,Common,3700,3769.9038,69.90380859375,1.8892921241554055
2025-03-19,Medinipur(W),Jhargram,Rice,Fine,4400,4397.195,2.80517578125,0.06375399502840909
2024-02-11,Darjeeling,Kalimpong,Rice,Other,6000,5999.819,0.18115234375,0.0030192057291666663
2024-01-04,Medinipur(W),Jhargram,Rice,Fine,4600,4368.4395,231.560546875,5.033924932065218
2024-01-27,Darjeeling,Kalimpong,Rice,Other,6000,5979.427,20.5732421875,0.3428873697916667
2025-03-23,Medinipur(W),Jhargram,Rice,Common,3800,3763.7646,36.2353515625,0.9535618832236843
2024-03-09,Medinipur(W),Jhargram,Rice,Super Fine,5200,5100.133,99.8671875,1.9205228365384617
2024-10-27,Medinipur(W),Jhargram,Rice,Fine,4400,4361.045,38.955078125,0.8853426846590909
2025-07-10,Medinipur(W),Jhargram,Rice,Common,3800,3783.289,16.7109375,0.4397615131578947
2025-03-15,Medinipur(W),Jhargram,Rice,Common,3700,3777.4453,77.4453125,2.093116554054054
2025-03-20,Medinipur(W),Jhargram,Rice,Fine,4400,4397.5747,2.42529296875,0.055120294744318184
2025-05-27,Medinipur(W),Jhargram,Rice,Super Fine,4800,4942.9976,142.99755859375,2.9791158040364585
2025-06-07,Medinipur(W),Jhargram,Rice,Common,3800,3782.5364,17.463623046875,0.4595690275493421
2024-06-10,Medinipur(W),Jhargram,Rice,Super Fine,5000,5106.2695,106.26953125,2.125390625
2024-10-03,Medinipur(W),Jhargram,Rice,Fine,4400,4383.6562,16.34375,0.37144886363636365
2024-08-22,Darjeeling,Kalimpong,Rice,Other,4500,4574.2754,74.275390625,1.650564236111111
2024-12-25,Medinipur(W),Jhargram,Rice,Common,3800,3747.454,52.5458984375,1.382786800986842
2025-01-04,Medinipur(W),Jhargram,Rice,Common,3800,3754.151,45.84912109375,1.206555818256579
2024-09-18,Medinipur(W),Jhargram,Rice,Common,3800,3792.7344,7.265625,0.19120065789473686
2024-10-29,Darjeeling,Kalimpong,Rice,Other,4500,4456.792,43.2080078125,0.960177951388889
2025-06-06,Medinipur(W),Jhargram,Rice,Common,3900,3782.04,117.9599609375,3.0246143830128207
2024-01-02,Medinipur(W),Jhargram,Rice,Fine,4500,4383.8994,116.1005859375,2.5800130208333334
2025-06-09,Medinipur(W),Jhargram,Rice,Fine,4600,4416.8257,183.17431640625,3.9820503566576084
2024-01-10,Jalpaiguri,Alipurduar,Rice,Fine,3500,3522.5732,22.5732421875,0.6449497767857143
2025-02-05,Medinipur(W),Jhargram,Rice,Super Fine,4600,4911.7705,311.7705078125,6.777619735054348
2024-04-22,Medinipur(W),Jhargram,Rice,Common,3800,3791.2827,8.71728515625,0.22940224095394737
2025-04-17,Medinipur(W),Jhargram,Rice,Fine,4400,4401.8643,1.8642578125,0.04236949573863636
2025-08-11,Medinipur(W),Jhargram,Rice,Fine,4400,4467.343,67.3427734375,1.530517578125
2024-02-09,Medinipur(W),Jhargram,Rice,Fine,4400,4393.0283,6.9716796875,0.158447265625
2025-09-24,Medinipur(W),Jhargram,Rice,Super Fine,5000,4980.26,19.740234375,0.3948046875
